recording_id,subject_id,activity_id,activity,activity_code,trial_token,filename_suffix,row_count,malformed_rows,content_sha256,duplicate_group_id,duplicate_group_scope,primary_status,exclusion_reason,supplementary_6ch_eligible,accel_samples,accel_duration_seconds,accel_nonmonotonic_steps,accel_duplicate_time_steps,accel_internal_padding_rows,accel_median_step,accel_max_step,gyro_samples,gyro_duration_seconds,gyro_nonmonotonic_steps,gyro_duplicate_time_steps,gyro_internal_padding_rows,gyro_median_step,gyro_max_step,accel_3s_windows,gyro_3s_windows,split_feasible_activity,full_sparse_evaluable_client,minimum_support_client,split,allocation_lock
0.Stand/1001_A_1.csv,1001,0,Stand,A,1,,6943,0,a567eb14bfd9fd0658fc5a748fde5608d2e4275f0d0acbd6040d41c772fe6c5e,,,included,,True,6936,69.35,0,0,0,0.009999999999999787,0.010000000000005116,6943,69.42,0,0,0,0.009999999999999787,0.010000000000005116,23,23,False,False,False,train,client_train_anchor
1.Sit/1001_B_1.csv,1001,1,Sit,B,1,,6000,0,281178964e98d9836395f441746d7204281c97260e1211976a92dfd26719e299,,,included,,True,5995,59.93999999999999,0,0,0,0.00999999999999801,0.010000000000005116,6000,59.989999999999995,0,0,0,0.00999999999999801,0.010000000000005116,19,20,False,False,False,train,
2.Talk-sit/1001_C_1.csv,1001,2,Talk-sit,C,1,,6309,0,0f683b398f0379d1b09b524c36dc7c53c25e798747f932a506da278a95c62a68,,,included,,True,6300,62.989999999999995,0,0,0,0.009999999999999787,0.010000000000005116,6309,63.08,0,0,0,0.009999999999999787,0.010000000000005116,21,21,False,False,False,train,
3.Talk-stand/1001_D_1.csv,1001,3,Talk-stand,D,1,,6300,0,3d797bf52a2abed5ce25c2bec6359985f5a7e22cc25a258d6ace442051d88d26,,,included,,True,6300,62.99,0,0,0,0.009999999999999787,0.010000000000005116,6300,62.989999999999995,0,0,0,0.009999999999999787,0.010000000000005116,21,21,False,False,False,train,
4.Stand-sit/1001_E_1.csv,1001,4,Stand-sit,E,1,,2447,0,056158d8664d8a478fe04309d80f115212a675b3bdacd34f164ec8b9430088bb,,,included,,True,2446,24.45,0,0,0,0.009999999999999787,0.010000000000001563,2447,24.459999999999997,0,0,0,0.009999999999999787,0.010000000000001563,8,8,True,False,False,train,
4.Stand-sit/1001_E_2.csv,1001,4,Stand-sit,E,2,,2475,0,415b0d65e22a7a538e80c8cdf02d491c1b506766d2f7da69551b87c3074c127f,,,included,,True,2475,24.740000000000002,0,0,0,0.009999999999999787,0.010000000000001563,2475,24.74,0,0,0,0.009999999999999787,0.010000000000001563,8,8,True,False,False,validation,
4.Stand-sit/1001_E_3.csv,1001,4,Stand-sit,E,3,,2523,0,8de7db68c7edbc5435e86748d05ceab4cc2def816c6b24604d711000b0bc1286,,,included,,True,2521,25.2,0,0,0,0.009999999999999787,0.010000000000001563,2523,25.22,0,0,0,0.009999999999999787,0.010000000000001563,8,8,True,False,False,train,
4.Stand-sit/1001_E_4.csv,1001,4,Stand-sit,E,4,,2770,0,58b82da0273c4de4dd622dcbe56348f4614609655252e893ac96c1b8175fb79c,,,included,,True,2770,27.69,0,0,0,0.009999999999999787,0.010000000000001563,2768,27.67,0,0,0,0.009999999999999787,0.010000000000001563,9,9,True,False,False,test,
4.Stand-sit/1001_E_5.csv,1001,4,Stand-sit,E,5,,2342,0,e56940e018020b8b8acad3faac4f8c33f8c738fe11b55eb89d4c008706e69fbf,,,included,,True,2341,23.400000000000002,0,0,0,0.009999999999999787,0.010000000000001563,2342,23.41,0,0,0,0.009999999999999787,0.010000000000001563,7,7,True,False,False,train,
5.Lay/1001_F_1.csv,1001,5,Lay,F,1,,6608,0,3e165e55313a695cff50dc24374b0c6b914ef6251632e673fe790c34ae8f8ac3,,,included,,True,6600,65.99000000000001,0,0,0,0.009999999999999787,0.010000000000005116,6608,66.07000000000001,0,0,0,0.009999999999999787,0.010000000000005116,22,22,False,False,False,validation,
